date,num_cases,high,low,open,close,Coronavirus___Worldwide_,sentiment,total_injection
2020-09-24,,10799.549805,10520.219727,10551.019531,10672.269531,67,0.04811878212496126,191289
2020-09-25,853281,10939.549805,10639.980469,10680.459961,10913.55957,66,0.05078579717554164,20927
2020-09-28,653080,11120.790039,11019.139648,11084.379883,11117.530273,67,0.028204326199260433,19330
2020-09-29,,11153.230469,11065.629883,11109.0,11085.25,66,0.04219501284206595,154013
2020-09-30,888596,11277.959961,11092.900391,11092.900391,11167.509766,62,0.04960775410806492,125382
2020-10-02,884161,11244.870117,11033.69043,11082.530273,11075.019531,78,0.07136763758899568,38781
2020-10-05,784030,11335.209961,11162.519531,11169.110352,11332.490234,69,0.03569629300410179,16918
2020-10-06,907485,11392.410156,11124.450195,11314.530273,11154.599609,67,0.04194538341734026,152396
2020-10-07,937030,11380.55957,11258.349609,11271.679688,11364.599609,69,0.043917702750083415,12674
2020-10-08,941125,11448.230469,11384.330078,11443.349609,11420.980469,77,0.05335194446787579,222611
2020-10-09,,11581.230469,11476.660156,11487.599609,11579.94043,77,0.04593949376250045,17216
2020-10-13,915890,11946.980469,11821.830078,11901.759766,11863.900391,78,0.06279607478121475,162329
2020-10-14,,11939.919922,11714.349609,11889.070313,11768.730469,83,0.04900507935954856,39203
2020-10-15,1042719,11740.679688,11559.099609,11559.879883,11713.870117,91,0.04735708163993357,237912
2020-10-16,1093289,11827.419922,11648.530273,11761.830078,11671.55957,88,0.047989911537455694,16957
2020-10-19,,11778.110352,11454.570313,11732.339844,11478.879883,87,0.05536850294834012,16571
2020-10-20,1098945,11632.889648,11471.230469,11531.830078,11516.490234,84,0.05257155812710687,153472
2020-10-21,1172608,11613.790039,11476.080078,11530.389648,11484.69043,86,0.055741207954718534,40762
2020-10-22,1203185,11548.769531,11369.290039,11526.969727,11506.009766,93,0.06164594025535734,200755
